,calle,barrio,municipio,tipo_vivienda,titulo,habitaciones,metros_cuadrados,aseos,planta,descripcion,etiquetas,garaje,precio
158,Piso en Trinquete,Centro Ciudad,Manises,Piso,"Piso en Trinquete, 3, Centro Ciudad, Manises",3,139,,Planta 4ª exterior con ascensor,"RESIDENCIAL Trinquet es un nuevo edificio en el centro de Manises compuesto de 46 viviendas de 2, 3 y 4 dormitorios con amplias terrazas para sacarle el máximo rendimiento a tu vivienda y disfrutar del maravilloso clima mediterráneo de Valencia.
RESIDENCIAL Trinquet se sitúa a 3 minutos a pie de las paradas de metro",[],Sí,298000
159,Piso en Trinquete,Centro Ciudad,Manises,Piso,"Piso en Trinquete, 3, Centro Ciudad, Manises",3,85,,Planta 3ª exterior con ascensor,"RESIDENCIAL Trinquet es un nuevo edificio en el centro de Manises compuesto de 46 viviendas de 2, 3 y 4 dormitorios con amplias terrazas para sacarle el máximo rendimiento a tu vivienda y disfrutar del maravilloso clima mediterráneo de Valencia.
RESIDENCIAL Trinquet se sitúa a 3 minutos a pie de las paradas de metro",[],Sí,197000
160,Piso en Trinquete,Centro Ciudad,Manises,Piso,"Piso en Trinquete, 3, Centro Ciudad, Manises",3,118,,Planta 4ª exterior con ascensor,"RESIDENCIAL Trinquet es un nuevo edificio en el centro de Manises compuesto de 46 viviendas de 2, 3 y 4 dormitorios con amplias terrazas para sacarle el máximo rendimiento a tu vivienda y disfrutar del maravilloso clima mediterráneo de Valencia.
RESIDENCIAL Trinquet se sitúa a 3 minutos a pie de las paradas de metro",[],Sí,258000
161,Chalet adosado en avenida Miguel Hernández,Chalet adosado en avenida Miguel Hernández,Aldaia,Chalet,"Chalet adosado en avenida Miguel Hernández, Aldaia",3,201,,,"Esta impresionante propiedad ofrece una combinación única de confort, privacidad y seguridad. Ventanas de PVC con Climalit, oscilobatientes con mosquiteras, ventanas y puertas principales blindadas con grado 4 y cristal blindado de seguridad con persianas auto bloqueantes. Aislamiento térmico/acústico en toda la casa.",[],Sí,360000
162,Piso en Trinquete,Centro Ciudad,Manises,Piso,"Piso en Trinquete, 3, Centro Ciudad, Manises",3,110,,Planta 5ª exterior con ascensor,"RESIDENCIAL Trinquet es un nuevo edificio en el centro de Manises compuesto de 46 viviendas de 2, 3 y 4 dormitorios con amplias terrazas para sacarle el máximo rendimiento a tu vivienda y disfrutar del maravilloso clima mediterráneo de Valencia.
RESIDENCIAL Trinquet se sitúa a 3 minutos a pie de las paradas de metro",[],Sí,240000
163,Piso en Trinquete,Centro Ciudad,Manises,Piso,"Piso en Trinquete, 3, Centro Ciudad, Manises",2,74,,Planta 1ª exterior con ascensor,"RESIDENCIAL Trinquet es un nuevo edificio en el centro de Manises compuesto de 46 viviendas de 2, 3 y 4 dormitorios con amplias terrazas para sacarle el máximo rendimiento a tu vivienda y disfrutar del maravilloso clima mediterráneo de Valencia.
RESIDENCIAL Trinquet se sitúa a 3 minutos a pie de las paradas de metro",[],Sí,172400
194,Piso en nuevo Pai Quart,s/n,Quart de Poblet,Piso,"Piso en nuevo Pai Quart, s/n, Quart de Poblet",3,115,,,"Atalanta, un nombre impregnado de historia y mitología, hace alusión a la idea de agilidad, fuerza y belleza. En la mitología griega, Atalanta era una heroína célebre por su rapidez y su espíritu libre, cualidades que resuenan con la esencia de vivir en Quart de Poblet. Este nombre simboliza la aspiración de alcanzar u",[],Sí,274000
195,Piso en calle dels Pins,Parc Central,Paterna,Piso,"Piso en calle dels Pins, Parc Central, Paterna",3,139,,Planta 2ª exterior con ascensor,"OPORTUNIDAD DE INMUEBLE SIN POSESIÓN, NO SE PUEDE VISITAR (NO TIENE FINANCIACIÓN), propio para inversores o vecinos que conozcan el inmueble.
Disponemos de una amplia cartera de inmuebles sin posesión en Madrid y en toda España.
Valencia (oficialmente en valenciano: València, AFI: [vaˈɫensia]) es un municipio y una ci",[],No,175000
196,Casa o chalet independiente en calle Sant Roc,Casa o chalet independiente en calle Sant Roc,Aldaia,Chalet,"Casa o chalet independiente en calle Sant Roc, Aldaia",5,304,,,"OPORTUNIDAD DE INMUEBLE SIN POSESIÓN, NO SE PUEDE VISITAR (NO TIENE FINANCIACIÓN), propio para inversores o vecinos que conozcan el inmueble.
Disponemos de una amplia cartera de inmuebles sin posesión en Madrid y en toda España.
Valencia (oficialmente en valenciano: València, AFI: [vaˈɫensia]) es un municipio y una ciu",[],No,265000
197,Piso en calle Joaquín Costa,Centro Ciudad,Paterna,Piso,"Piso en calle Joaquín Costa, s/n, Centro Ciudad, Paterna",3,149,,Planta 2ª exterior con ascensor,"Descubra la exclusiva promoción de Obra Nueva en Paterna, donde la historia y la modernidad se entrelazan para crear un hogar único. Este proyecto residencial, situado en el corazón de Paterna, ofrece viviendas y áticos de 2 a 5 habitaciones, cada uno con amplias terrazas y solarium, perfectos para disfrutar del clima",[],No,236700
198,Piso en calle Dels molins,Els Molins,Paterna,Piso,"Piso en calle Dels molins, s/n, Els Molins, Paterna",3,115,,Planta 8ª exterior con ascensor,"Los Molinos II es un emocionante proyecto de obra nueva ubicado en la zona de Los Molinos, en expansión dentro de Paterna. Este conjunto residencial consta de 40 viviendas distribuidas en 10 alturas, ofreciendo una variedad de opciones para diferentes necesidades y preferencias.
Las viviendas en Los Molinos II present",[],Sí,258500
199,Piso en calle Dels molins,Els Molins,Paterna,Piso,"Piso en calle Dels molins, s/n, Els Molins, Paterna",3,114,,Planta 8ª exterior con ascensor,"Los Molinos II es un emocionante proyecto de obra nueva ubicado en la zona de Los Molinos, en expansión dentro de Paterna. Este conjunto residencial consta de 40 viviendas distribuidas en 10 alturas, ofreciendo una variedad de opciones para diferentes necesidades y preferencias.
Las viviendas en Los Molinos II present",[],Sí,265500
200,Piso en calle Miguel Hernandez,Centro Ciudad,Paterna,Piso,"Piso en calle Miguel Hernandez, 10, Centro Ciudad, Paterna",3,86,,Planta 2ª exterior con ascensor,"Promoción de Obra Nueva en Campamento, Paterna (Valencia)
Te presentamos Edificio Gran Teatro, una exclusiva promoción de obra nueva situada en el encantador barrio de Campamento, en Paterna. Este proyecto residencial consta de 15 viviendas diseñadas para ofrecer el máximo confort y calidad de vida, con opciones que v",[],No,229000
201,Ático en calle Dels molins,Els Molins,Paterna,,"Ático en calle Dels molins, s/n, Els Molins, Paterna",3,190,,Planta 10ª exterior con ascensor,"Los Molinos II es un emocionante proyecto de obra nueva ubicado en la zona de Los Molinos, en expansión dentro de Paterna. Este conjunto residencial consta de 40 viviendas distribuidas en 10 alturas, ofreciendo una variedad de opciones para diferentes necesidades y preferencias.
Las viviendas en Los Molinos II present",[],Sí,358500
202,Piso en calle Dels molins,Els Molins,Paterna,Piso,"Piso en calle Dels molins, s/n, Els Molins, Paterna",3,115,,Planta 9ª exterior con ascensor,"Los Molinos II es un emocionante proyecto de obra nueva ubicado en la zona de Los Molinos, en expansión dentro de Paterna. Este conjunto residencial consta de 40 viviendas distribuidas en 10 alturas, ofreciendo una variedad de opciones para diferentes necesidades y preferencias.
Las viviendas en Los Molinos II present",[],Sí,269000
203,Ático en calle Dels molins,Els Molins,Paterna,,"Ático en calle Dels molins, s/n, Els Molins, Paterna",3,217,,Planta 10ª exterior con ascensor,"Los Molinos II es un emocionante proyecto de obra nueva ubicado en la zona de Los Molinos, en expansión dentro de Paterna. Este conjunto residencial consta de 40 viviendas distribuidas en 10 alturas, ofreciendo una variedad de opciones para diferentes necesidades y preferencias.
Las viviendas en Los Molinos II present",[],Sí,376500
204,Ático en calle Dels molins,Els Molins,Paterna,,"Ático en calle Dels molins, s/n, Els Molins, Paterna",3,218,,Planta 10ª exterior con ascensor,"Los Molinos II es un emocionante proyecto de obra nueva ubicado en la zona de Los Molinos, en expansión dentro de Paterna. Este conjunto residencial consta de 40 viviendas distribuidas en 10 alturas, ofreciendo una variedad de opciones para diferentes necesidades y preferencias.
Las viviendas en Los Molinos II present",[],Sí,371500
205,Piso en Grupo de la Mercé,Centro Ciudad,Paterna,Piso,"Piso en Grupo de la Mercé, Centro Ciudad, Paterna",2,64,,Planta 4ª exterior con ascensor,"OPORTUNIDAD DE INMUEBLE SIN POSESIÓN, NO SE PUEDE VISITAR (NO TIENE FINANCIACIÓN), propio para inversores o vecinos que conozcan el inmueble.
Disponemos de una amplia cartera de inmuebles sin posesión en Madrid y en toda España.
Valencia (oficialmente en valenciano: València, AFI: [vaˈɫensia]) es un municipio y una ciu",[],No,31455
206,Piso en calle Miguel Hernandez,Centro Ciudad,Paterna,Piso,"Piso en calle Miguel Hernandez, 10, Centro Ciudad, Paterna",3,86,,Planta 4ª exterior con ascensor,"Promoción de Obra Nueva en Campamento, Paterna (Valencia)
Te presentamos Edificio Gran Teatro, una exclusiva promoción de obra nueva situada en el encantador barrio de Campamento, en Paterna. Este proyecto residencial consta de 15 viviendas diseñadas para ofrecer el máximo confort y calidad de vida, con opciones que v",[],No,244000
207,Ático en calle Dels molins,Els Molins,Paterna,,"Ático en calle Dels molins, s/n, Els Molins, Paterna",3,189,,Planta 10ª exterior con ascensor,"Los Molinos II es un emocionante proyecto de obra nueva ubicado en la zona de Los Molinos, en expansión dentro de Paterna. Este conjunto residencial consta de 40 viviendas distribuidas en 10 alturas, ofreciendo una variedad de opciones para diferentes necesidades y preferencias.
Las viviendas en Los Molinos II present",[],Sí,359000
208,Piso en calle Dels molins,Els Molins,Paterna,Piso,"Piso en calle Dels molins, s/n, Els Molins, Paterna",3,105,,Planta 6ª exterior con ascensor,"Los Molinos II es un emocionante proyecto de obra nueva ubicado en la zona de Los Molinos, en expansión dentro de Paterna. Este conjunto residencial consta de 40 viviendas distribuidas en 10 alturas, ofreciendo una variedad de opciones para diferentes necesidades y preferencias.
Las viviendas en Los Molinos II present",[],Sí,249500
209,Piso en calle Dels molins,Els Molins,Paterna,Piso,"Piso en calle Dels molins, s/n, Els Molins, Paterna",3,114,,Planta 9ª exterior con ascensor,"Los Molinos II es un emocionante proyecto de obra nueva ubicado en la zona de Los Molinos, en expansión dentro de Paterna. Este conjunto residencial consta de 40 viviendas distribuidas en 10 alturas, ofreciendo una variedad de opciones para diferentes necesidades y preferencias.
Las viviendas en Los Molinos II present",[],Sí,277000
210,Casa o chalet independiente en plaza Constitució,Casa o chalet independiente en plaza Constitució,Aldaia,Chalet,"Casa o chalet independiente en plaza Constitució, Aldaia",4,270,,,"Oportunidad inmueble sin posesión, no se puede visitar, propio para
inversores o vecinos que conozcan el inmueble. Disponemos de una amplia cartera de inmuebles sin posesión en Madrid y en toda España.
La Comunidad Valenciana (oficialmente en valenciano: Comunitat Valenciana) es una comunidad autónoma española situada",[],No,220000
211,Piso en calle Adolfo Sáez,Piso en calle Adolfo Sáez,Aldaia,Piso,"Piso en calle Adolfo Sáez, Aldaia",3,78,,Planta 3ª exterior con ascensor,"Oportunidad inmueble sin posesión, no se puede visitar, propio para
inversores o vecinos que conozcan el inmueble. Disponemos de una amplia cartera de inmuebles sin posesión en Madrid y en toda España.
La Comunidad Valenciana (oficialmente en valenciano: Comunitat Valenciana) es una comunidad autónoma española situada",[],No,100000
212,Ático en calle Miguel Hernandez,Centro Ciudad,Paterna,,"Ático en calle Miguel Hernandez, 10, Centro Ciudad, Paterna",3,84,,Planta 5ª exterior con ascensor,"Promoción de Obra Nueva en Campamento, Paterna (Valencia)
Te presentamos Edificio Gran Teatro, una exclusiva promoción de obra nueva situada en el encantador barrio de Campamento, en Paterna. Este proyecto residencial consta de 15 viviendas diseñadas para ofrecer el máximo confort y calidad de vida, con opciones que v",[],No,286000
213,Piso en calle Miguel Hernandez,Centro Ciudad,Paterna,Piso,"Piso en calle Miguel Hernandez, 10, Centro Ciudad, Paterna",3,88,,Planta 4ª exterior con ascensor,"Promoción de Obra Nueva en Campamento, Paterna (Valencia)
Te presentamos Edificio Gran Teatro, una exclusiva promoción de obra nueva situada en el encantador barrio de Campamento, en Paterna. Este proyecto residencial consta de 15 viviendas diseñadas para ofrecer el máximo confort y calidad de vida, con opciones que v",[],No,244000
214,Ático en calle 30,La Cañada,Paterna,,"Ático en calle 30, 32, La Cañada, Paterna",2,99,,,"Descubre la promoción de viviendas y áticos en un entorno único, justo enfrente del Parque de La Cañada y a pocos pasos de la estación de metro del mismo nombre.
Este edificio de obra nueva ofrece una ubicación inmejorable, en una zona tranquila, rodeada de amplias zonas ajardinadas y a solo un corto trayecto de Vale",[],No,280000
215,Piso en Juan Pablo II,El Mercado,Manises,Piso,"Piso en Juan Pablo II, s/n, El Mercado, Manises",3,107,,Planta 3ª exterior con ascensor,"NUEVA PROMOCIÓN. LANDCO MANISES III. Hasta 90% de financiación con Banco Santander, con la garantía de LandCo, sociedad perteneciente del Grupo Santander. El Residencial cuenta con un total de 54 viviendas de 2, 3 y 4 dormitorios, con garaje y trastero para una total comodidad. LandCo Manises III tiene un diseño cuidad",[],Sí,255000
216,Piso en calle 30,La Cañada,Paterna,Piso,"Piso en calle 30, 32, La Cañada, Paterna",2,97,,,"Descubre la promoción de viviendas y áticos en un entorno único, justo enfrente del Parque de La Cañada y a pocos pasos de la estación de metro del mismo nombre.
Este edificio de obra nueva ofrece una ubicación inmejorable, en una zona tranquila, rodeada de amplias zonas ajardinadas y a solo un corto trayecto de Vale",[],No,230000
217,Ático en calle Miguel Hernandez,Centro Ciudad,Paterna,,"Ático en calle Miguel Hernandez, 10, Centro Ciudad, Paterna",2,77,,Planta 5ª exterior con ascensor,"Promoción de Obra Nueva en Campamento, Paterna (Valencia)
Te presentamos Edificio Gran Teatro, una exclusiva promoción de obra nueva situada en el encantador barrio de Campamento, en Paterna. Este proyecto residencial consta de 15 viviendas diseñadas para ofrecer el máximo confort y calidad de vida, con opciones que v",[],No,261900
218,Piso en Juan Pablo II,El Mercado,Manises,Piso,"Piso en Juan Pablo II, s/n, El Mercado, Manises",2,79,,Planta 5ª exterior con ascensor,"NUEVA PROMOCIÓN. LANDCO MANISES III. Hasta 90% de financiación con Banco Santander, con la garantía de landCo, sociedad perteneciente del Grupo Santander. El Residencial cuenta con un total de 54 viviendas de 2, 3 y 4 dormitorios, con garaje y trastero para una total comodidad. landCo Manises III tiene un diseño cuidad",[],Sí,220000
219,Piso en calle Miguel Hernandez,Centro Ciudad,Paterna,Piso,"Piso en calle Miguel Hernandez, 10, Centro Ciudad, Paterna",3,96,,Planta 2ª exterior con ascensor,"Promoción de Obra Nueva en Campamento, Paterna (Valencia)
Te presentamos Edificio Gran Teatro, una exclusiva promoción de obra nueva situada en el encantador barrio de Campamento, en Paterna. Este proyecto residencial consta de 15 viviendas diseñadas para ofrecer el máximo confort y calidad de vida, con opciones que v",[],No,238000
220,Piso en calle de les Roses,Poligono del Aeropuerto,Manises,Piso,"Piso en calle de les Roses, 20, Poligono del Aeropuerto, Manises",3,113,,Planta 3ª exterior con ascensor,"En Rosas20 te ofrecemos una estupenda oportunidad de mejorar tu calidad de vida disfrutando de un entorno armonioso, agradable y muy bien situado.
Viviendas de 1, 2 y 3 dormitorios, plazas de garaje y trasteros que cuentan con una cuidada distribución con amplias y luminosas estancias, pensadas para cubrir las necesida",[],No,249500
221,Piso en calle Miguel Hernandez,Centro Ciudad,Paterna,Piso,"Piso en calle Miguel Hernandez, 10, Centro Ciudad, Paterna",3,94,,Planta 3ª exterior con ascensor,"Promoción de Obra Nueva en Campamento, Paterna (Valencia)
Te presentamos Edificio Gran Teatro, una exclusiva promoción de obra nueva situada en el encantador barrio de Campamento, en Paterna. Este proyecto residencial consta de 15 viviendas diseñadas para ofrecer el máximo confort y calidad de vida, con opciones que v",[],No,239900
223,Piso en calle Gabriel lopez catala,Centro Ciudad,Manises,Piso,"Piso en calle Gabriel lopez catala, 1, Centro Ciudad, Manises",3,137,,,"Descubre tu nuevo hogar en Manises
En Tesela descubrirás tu vivienda ideal. Con apartamentos de 1, 2 y 3 dormitorios de variados tamaños, encontrarás una opción que te encaje perfectamente.
Todas las viviendas cuentan con una luminosa terraza exterior para poder disfrutar de nuestro clima mediterraneo en compañía de t",[],No,234000
224,Casa o chalet independiente en La Cañada,Casa o chalet independiente en La Cañada,Paterna,Chalet,"Casa o chalet independiente en La Cañada, Paterna",5,527,,,"CON POSIBILIDAD DE SEGREGAR UNA PARCELA ESQUINERA DE 500m2.
Increíble chalet señorial en venta en La Cañada. Esta magnífica propiedad cuenta con una superficie construida de 527 m2 y una amplia parcela de 1578 m2. El jardín y la piscina son perfectos para disfrutar del aire libre y relajarse. Además, ofrece la posibil",['Villa'],Sí,700000
225,Piso en plaza de la Flor,Centro Ciudad,Manises,Piso,"Piso en plaza de la Flor, 1, Centro Ciudad, Manises",3,93,,Planta 5ª exterior sin ascensor,"¡Descubre tu nuevo hogar en el corazón de Manises! Este encantador piso, situado en la quinta planta de un edificio sin ascensor, te ofrece la oportunidad de vivir en una de las mejores zonas de la población, con vistas impresionantes que te dejarán sin aliento. Con 93 m² construidos y 88 m² útiles, este piso ha sido r",[],No,120000
226,Piso,en Aldaia,Manises,Piso,Piso en Aldaia,4,113,,Planta 1ª exterior con ascensor,"Este encantador piso en Aldaia es perfecto para familias o aquellos que buscan espacio y comodidad. Con un total de 4 dormitorios, hay suficiente espacio para todos, ya sea para descansar, trabajar o jugar. El baño es funcional y está diseñado para satisfacer las necesidades diarias.
El comedor es un lugar acogedor do",[],No,149990
228,Piso en El Alborgí,Piso en El Alborgí,Paterna,Piso,"Piso en El Alborgí, Paterna",3,90,,Planta 5ª exterior con ascensor,"Presentamos un atractivo piso disponible para la venta en la codiciada zona de El Alborgí, en Paterna. Esta propiedad, situada en la quinta planta de un edificio construido en 1974, ofrece una oportunidad única para quienes buscan un hogar confortable y bien ubicado.
El inmueble consta de 90 metros construidos y 85",[],No,150000
229,Piso en El Mercado,Piso en El Mercado,Manises,Piso,"Piso en El Mercado, Manises",2,48,,Planta 3ª exterior sin ascensor,"En venta con un buen inquilino, ideal para inversores. En el encantador municipio de Manises se encuentra disponible un acogedor piso en venta en un tercer piso sin ascensor, ofreciendo una atractiva rentabilidad. Esta propiedad ofrece 48 metros cuadrados útiles perfectamente distribuidos, presenta una cálida atmósf",[],No,92000
231,Casa o chalet independiente en calle 530,La Cañada,Paterna,Chalet,"Casa o chalet independiente en calle 530, La Cañada, Paterna",5,527,,,"CREA ESPACIO RESIDENCIAL, presenta este señorial chalet ubicado en La Cañada, el cual posee una superficie construida de 527 m2, sobre una parcela de 1.000 m2.
El chalet consta de dos plantas, con preciosas vistas desde sus distintas terrazas, al parque y a la piscina.
En la planta baja encontramos un amplio salón co",[],No,550000
232,Casa o chalet independiente en calle 204,La Cañada,Paterna,Chalet,"Casa o chalet independiente en calle 204, La Cañada, Paterna",5,345,,,"Creaespacio residencial les presenta en el centro de la urbanización El Plantío, La Cañada, esta magnífica vivienda de 1.158m2 y 310m2 de vivienda distribuida en dos plantas.
Al entrar en la vivienda el hall de entrada nos dá acceso a el amplio salón comedor con chimenea, con grandes ventanales y preciosas vistas al ja",['Villa'],Sí,870000
233,Piso en El Alborgí,Piso en El Alborgí,Paterna,Piso,"Piso en El Alborgí, Paterna",3,85,1.0,,"INCREIBLE VIVIENDA REFORMADA JUNTO AL PARQUE DE ALBORGI EN LA LOCALIDAD DE PATERNA.
Piso en planta baja sin ascensor, 85 mts, 3 habitaciones, 1 baño reformado, cocina reformada, exterior, 2 terrazas.
REF: V10393
molmar gestión inmobiliaria e hipotecaria s. L trata la información que nos facilita con el fin de prestarle",[],No,149000
234,Dúplex en Santa Rita,Dúplex en Santa Rita,Paterna,,"Dúplex en Santa Rita, Paterna",1,65,1.0,Planta 3ª exterior con ascensor,"atico duplex con ascensor y terraza en paterna
Atico en tercera altura con ascensor, 65 mts, 1 habitacion, 1 baño seminuevo con bañera, cocina abierta seminueva, exterior, terraza, suelo tarima, armario empotrado, garaje.
ref: v9893.
Molmar Gestión Inmobiliaria e Hipotecaria S. L trata la información que nos facilita c",[],Sí,139000
235,Chalet adosado en calle Pablo Picasso,s/n,Quart de Poblet,Chalet,"Chalet adosado en calle Pablo Picasso, s/n, Quart de Poblet",4,171,,,"MIES INMOBILIARIA VENDE EN EXCLUSIVA - ESTUPENDA VIVIENDA PARA REHABILITAR CON 129 m2 CONSTRUIDOS EN UNA PARCELA DE 171m2 EN UNA DE LAS MEJORES ZONAS DEL BARRIO DEL CRISTO en QUART DE POBLET. Si estas pensado en hacerte una casa a tu gusto, muy cerca de Valencia, esta es tu oportunidad. Te presentamos una vivienda para",[],No,90000
236,Chalet en San Francisco,Chalet en San Francisco,Manises,Chalet,"Chalet en San Francisco, Manises",4,134,,,"¡Descubre la casa adosada de tus sueños en el encantador municipio de Manises! Estamos encantados de presentarte esta magnífica propiedad en venta, perfecta para aquellos que buscan un hogar espacioso y acogedor en una ubicación privilegiada. Con un total de 134 metros construidos y 105 metros útiles, esta vivienda",[],Sí,240000
237,Piso en Centro Ciudad,Piso en Centro Ciudad,Manises,Piso,"Piso en Centro Ciudad, Manises",3,143,,Planta 1ª exterior sin ascensor,"¡Oportunidad única en el corazón de Manises! Presentamos este magnífico piso en venta independiente en primera altura de casa de pueblo, una joya inmobiliaria que no querrá dejar pasar. Localizado estratégicamente, este inmueble combina confort, espacio y una ubicación privilegiada para ofrecerle el hogar ideal.
Es",[],No,270000
238,Piso en El Mercado,Piso en El Mercado,Manises,Piso,"Piso en El Mercado, Manises",3,100,,Planta 4ª sin ascensor,"ATHIKA presenta en exclusiva. ¡Oportunidad única en Manises! Te presentamos esta magnífica vivienda ubicada en una de las mejores calles de la ciudad, a solo unos pasos de todos los servicios esenciales como metro, farmacia, colegios y supermercado. Amplio salón que da acceso a un soleado balcón, perfecto para disfruta",[],No,120000
239,Casa o chalet independiente en Alameda Park,Casa o chalet independiente en Alameda Park,Manises,Chalet,"Casa o chalet independiente en Alameda Park, Manises",4,260,,,"VILLA DE LUJO CON MATERIALES DE ALTA GAMA. En planta baja consta de amplio salón con acceso a terraza y lavadero, cocina totalmente equipada, baño con plato de ducha, dormitorio con armario empotrado. En la segunda planta accedemos a la suite principal con baño y vestidor de auténtico lujo. 2 habitaciones dobles con su",[],No,410000
240,Casa o chalet independiente en Centro Ciudad,Casa o chalet independiente en Centro Ciudad,Manises,Chalet,"Casa o chalet independiente en Centro Ciudad, Manises",4,307,,,"ATHIKA presenta como novedad. Fabuloso chalet unifamiliar en Urbanización La Malla a tan solo 5 minutos de Manises, con muy buena comunicación. Buscas la tranquilidad de vivir fuera del núcleo urbano, sentir, respirar absoluta libertad. Aquí tienes lo que estas deseando, vida familiar sin que nadie te moleste. Fabulosa",[],No,360000
241,Casa o chalet independiente en Centro Ciudad,Casa o chalet independiente en Centro Ciudad,Paterna,Chalet,"Casa o chalet independiente en Centro Ciudad, Paterna",5,350,,,"Creaespacio Residencial presenta esta casa en el centro de Paterna, de 350m2, en dos plantas.
En la planta baja encontramos el garaje con capacidad para varios coches, trastero, habitación con luz natural y una terraza con paellero. También accedemos desde la calle al primer piso donde está ubicada la luminosa vivienda",[],Sí,390000
242,Piso en El Mercado,Piso en El Mercado,Manises,Piso,"Piso en El Mercado, Manises",4,73,1.0,Planta 5ª exterior sin ascensor,"gran oportunidad junto al mercado los pinos de la localidad de manises.
vivienda en quinta altura, exterior y sin ascensor. 73 m², 4 habitaciones, 1 baño en buen estado con plato de ducha, cocina armariada en buen estado, balcon, a/a, orientacion este/oeste, amueblado con electrodomesticos.
ref: v10372.
MOLMAR GESTIÓN",[],No,114000
243,Piso en calle Juan Ramon Jimenez,Piso en calle Juan Ramon Jimenez,Aldaia,Piso,"Piso en calle Juan Ramon Jimenez, Aldaia",3,99,,Planta 1ª exterior con ascensor,"Excelente vivienda en el Barrio del Cristo! 99m2 distribuidos en tres dormitorios (uno de ellos en la terraza) salón-comedor, cocina independiente y dos cuartos de baño.
Cuenta con una gran terraza, buena ubicación a 100 metros de la parada de bus línea L160A, rodeado de todos los servicios, comercios, supermercados,",[],No,180000
244,Casa o chalet independiente en La Cañada,Casa o chalet independiente en La Cañada,Paterna,Chalet,"Casa o chalet independiente en La Cañada, Paterna",4,121,,,"002XTDT285 CHALET CON TERRAZA Y JARDÍN EN CAÑADA
¡Deleite sus sentidos con este encantador chalet en la hermosa Cañada! Esta propiedad de una sola planta ofrece un espacio habitable cómodo y atractivo. El chalet de una sola planta con cuatro dormitorios y dos baños completos, proporcionando un lugar cómodo para usted",[],No,285000
245,Piso en Centro Ciudad,Piso en Centro Ciudad,Manises,Piso,"Piso en Centro Ciudad, Manises",2,70,1.0,Planta 4ª exterior sin ascensor,"increible vivienda en venta en la localidad de manises
Piso en cuarta altura sin ascensor, 70 mts, 2 habitaciones, 1 baño en buen estado con ducha, cocina en buen estado, exterior, suelo gres, A/A
ref: v10166
Molmar Gestión Inmobiliaria e Hipotecaria S. L trata la información que nos facilita con el fin de prestarle el",[],No,120000
246,Piso,en Aldaia,Manises,Piso,Piso en Aldaia,3,150,2.0,Planta 3ª exterior con ascensor,"gran oportunidad de adquirir un antico-duplex con ascensor y gran terraza en la localidad de aldaia.
Atico-Duplex en tercera altura con ascensor, 150 mts, 3 habitaciones, 2 baños en buen estado, cocina en buen estado, exterior, orientacion este, terraza, a/a.
ref: v9645
molmar gestión inmobiliaria e hipotecaria s. L tr",[],No,190000
247,Piso en calle Santa Rita,Piso en calle Santa Rita,Aldaia,Piso,"Piso en calle Santa Rita, Aldaia",4,130,,Planta 2ª exterior sin ascensor,"¡Oportunidad única en el corazón de Aldaia! Este espacioso piso de 115 m² útiles, ubicado en la segunda planta de un edificio sin ascensor, te ofrece la combinación perfecta entre comodidad y potencial de inversión. Con 4 habitaciones amplias y luminosas, un baño recientemente reformado y una distribución que garantiza",['Alquilada'],No,98000
248,Dúplex,en Aldaia,Manises,,Dúplex en Aldaia,3,150,,Planta 2ª exterior con ascensor,"Presentamos a la venta éste excelente dúplex en perfecto estado, para entrar a vivir, ubicado en una segunda planta con ascensor.
- Primera Planta, encontramos tres cómodas habitaciones exteriores con armarios empotrados y un cuarto de baño completo con bañera y mampara.
- Planta Superior, donde podemos disfrutar de",[],No,190000
249,Piso,en Aldaia,Manises,Piso,Piso en Aldaia,1,80,,,"gran oportunidad de adquirir un bajo vivienda reformado a estrenar con materiales de primera en la localidad de aldaia
vivienda ubicada en una planta baja, exterior y sin ascensor. con una superficie de 80 m² distribuidos en amplio salon comedor de concepto abierto a la cocina a estrenar, 1 habitacion amplia y baño co",[],No,119000
250,Casa o chalet independiente en calle 601,La Cañada,Paterna,Casa,"Casa o chalet independiente en calle 601, La Cañada, Paterna",2,75,1.0,,"Venta chalet montecañada, nueva construccion, independiente
mejor precio con parcela de mas de 500 m2. Puedes ampliar la vivienda.
Venta chalet independiente en la cañada, reformado, zona montecañada
75m2 construidos, 560m2 de parcela, 2 habitaciones, 1 baño, cocina, comedor salon 
compraventa directa
movil seis d",[],No,290000
251,Piso en El Mercado,Piso en El Mercado,Manises,Piso,"Piso en El Mercado, Manises",3,72,,Planta 5ª exterior sin ascensor,"¡Oportunidad en venta! Piso en el corazón de Manises en su plaza mas hermosa y familiar.
Este luminoso piso ubicado en un 5to piso sin ascensor es ideal para quienes buscan espacio y comodidad a un excelente precio. Con una superficie de 72 metros cuadrados, cuenta con tres habitaciones, un baño completo. Atractivo pa",[],No,114000
252,Casa o chalet independiente en La Cañada,Casa o chalet independiente en La Cañada,Paterna,Chalet,"Casa o chalet independiente en La Cañada, Paterna",4,105,,,"Cerca del centro de la cañada encontramos esta acogedora vivienda con una parcela privada de 330 m² aproximadamente y una vivienda que se compone de salón comedor, cuatro habitaciones, cocina y baño con hidromasaje.
Dispone de un semisótano adicional habilitado con dos cuartos anexos que dan un servicio extra a la viv",[],No,285000
